Brand,Date,Day,Index,Beverage,Beer,Wine,Liquor,Miscellaneous1,Retail Sales,Food Supplies,Labor,Cash Flow,Ordered,Quantity,Unit Cost,Ext Value,Extra_0,Extra_1,Extra_2,Extra_3,Extra_4,Extra_5,Extra_6,Extra_7,Extra_8,Extra_9,Extra_10,Extra_11,Extra_12,Extra_13,Extra_14,Extra_15,Extra_16,Extra_17,Extra_18,Extra_19,Extra_20,Extra_21
Jameson Orange 1L,1.0,545,545,333,181485,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Jim Beam 1L,1.0,585,585,1334,78039,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Kentucky Dale Blended Whiskey 1L,1.0,825,825,639,527175,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Knob Creek Bourbon 9 years 750ml,1.0,075,075,26,195,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Knob Creek Rye 1L,1.0,1,1,3525,3525,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Makers Mark Bourbon 1L,1.0,135,135,2458,33183,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Old Forester Bourbon 1L,1.0,1,1,17,17,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Pendleton Whiskey 1L,1.0,175,175,2626,45955,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Seagrams 7 Crown American Whiskey 1L,1.0,175,175,1499,262325,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Skrewball Peanut 1L,1.0,105,105,2636,27678,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Southern Comfort 1L,1.0,07,07,1439,10073,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
TX Blended Whiskey 750ml,1.0,25,25,3519,87975,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Woodford Reserve Bourbon 1L,1.0,285,285,3509,1000065,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LiquorBrbnWhiskey Subtotal,1.0,6835,6835,1657838,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Courvoisier VSOP Cognac 1L,1.0,205,205,383,78515,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Hennessy VS Cognac 1L,1.0,265,265,39,10335,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LiquorCognac Subtotal,1.0,47,47,181865,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Bombay Sapphire Gin 1L,1.0,405,405,2239,906795,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Hendricks Gin 1L,1.0,18,18,374,6732,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Taaka Gin 1L,1.0,49,49,589,28861,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Tanqueray Gin 1L,1.0,195,195,2474,48243,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
LiquorGin Subtotal,1.0,127,127,2351035,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Amaretto Disaronno 1L,1.0,1,1,3839,3839,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Baileys Irish Cream 1L,1.0,07,07,3384,23688,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Campari 1L,1.0,36,36,3406,122616,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Chambord Liqueur 750ml,1.0,3,3,2799,8397,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
Cointreau Liq 1L,1.0,355,355,3199,1135645,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
DeKuyper Amaretto 1L,1.0,02,02,10,2,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
DeKuyper Buttershots Schnapps 1L,1.0,3,3,1073,3219,Miscellaneous,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , 
